Year_Group,Tour_overall_length_(km),age,BMI,weight_(Kg),height_(m),Winner,Country,Team,rider_type_(PPS),close_rider_type_(PPS)
1903 - 1933,4863.961538461538,27.807692307692307,25.35,74,1.6989222465,Philippe Thys,France,Cycles Peugeot,climber,sprinter
1933 - 1963,4522.782608695652,28.08695652173913,22.566666666666666,68.91666666666667,1.7467770455833334,NA,France,France,sprinter,time trial
1963 - 1993,3985.633333333333,27.2,21.768,68.23076923076923,1.77371648864,NA,France,Renault,time trial,time trial
1993 - 2023,3561.3548387096776,29.29032258064516,21.374193548387098,69.12903225806451,1.7980722757741936,Lance armstrong,NA,NA,climber,NA
